"lap.distance";"r";"vmax";"slope";"vmin";"vdop"
1;500;400;0;0;Inf
21;500;400;0;0;Inf
41;308,069485355742;400;0;0;346,088739929967
61;192,395257286172;400;0;0;273,501875739205
81;135,710076053536;400;0;0;229,704326405958
101;109,823635308277;400;0;0;206,63840254865
121;128,446380664891;400;0;0;223,472487797737
141;152,207123237329;400;0;0;243,265553489748
161;178,268294174664;400;0;0;263,26927806926
181;201,376914807795;400;0;0;279,813052728551
201;217,817753197602;400;0;0;291,011241094271
221;246,043154851955;400;0;0;309,292060367608
241;287,580714237287;400;0;0;334,382089375997
261;347,682736248699;400;0;0;367,667033949869
281;431,401442792368;400;0;0;409,54716573024
301;500;400;0;0;Inf
321;500;400;0;0;Inf
341;500;400;0;0;Inf
361;500;400;0;0;Inf
381;500;400;0;0;Inf
401;500;400;0;0;Inf
421;500;400;0;0;Inf
441;500;400;0;0;Inf
461;500;400;0;0;Inf
481;500;400;0;0;Inf
501;499,77055593954;400;0;0;440,806978335522
521;498,233452842716;400;0;0;440,128579468827
541;474,142912708625;400;0;0;429,356220941439
561;315,768265081676;400;0;0;350,386502970299
581;236,628602952492;400;0;0;303,316997261823
601;198,900449760046;400;0;0;278,087207305021
621;367,44508910591;400;0;0;377,971759056649
641;500;400;0;0;Inf
661;500;400;0;0;Inf
681;261,791147824467;400;0;0;319,03667230297
701;162,837224913073;400;0;0;251,61699673552
721;178,138822897649;400;0;0;263,173658147251
741;203,105490706432;400;0;0;281,011413979327
761;237,065131199627;400;0;0;303,596645255535
781;285,767126279409;400;0;0;333,326054633349
801;370,511551636641;400;0;0;379,545637936106
821;500;400;0;0;Inf
841;353,736181058886;400;0;0;370,853916246943
861;163,704886334951;400;0;0;252,286463780816
881;98,0357299237081;400;0;0;195,233941194501
901;76,2590855369459;400;0;0;172,190395948103
921;153,114255256574;400;0;0;243,989390022919
941;500;400;0;0;Inf
961;308,889448542784;400;0;0;346,549011820023
981;113,674950378193;400;0;0;210,230399103083
1001;69,1254692177409;400;0;0;163,938959469242
1021;82,5927933062918;400;0;0;179,198432017376
1041;96,9061709692035;400;0;0;194,105948576612
1061;106,985239252888;400;0;0;203,950633785539
1081;106,46608656382;400;0;0;203,45519029018
1101;100,579617756815;400;0;0;197,750740539321
1121;261,317841989724;400;0;0;318,748140332779
1141;484,873157252255;400;0;0;434,187382980755
1161;214,23495039638;400;0;0;288,607949845656
1181;225,016346509954;400;0;0;295,780924880341
1201;234,507987798897;400;0;0;301,954807307668
1221;241,537530184773;400;0;0;306,447045565526
1241;245,364136464896;400;0;0;308,864980626732
1261;314,230749172681;400;0;0;349,53242378689
1281;496,104627334247;400;0;0;439,187293882183
1301;500;400;0;0;Inf
1321;500;400;0;0;Inf
1341;500;400;0;0;Inf
1361;500;400;0;0;Inf
1381;500;400;0;0;Inf
1401;500;400;0;0;Inf
1421;500;400;0;0;Inf
1441;500;400;0;0;Inf
1461;500;400;0;0;Inf
1481;500;400;0;0;Inf
1501;500;400;0;0;Inf
1521;500;400;0;0;Inf
1541;500;400;0;0;Inf
1561;500;400;0;0;Inf
1581;500;400;0;0;Inf
1601;500;400;0;0;Inf
1621;500;400;0;0;Inf
1641;500;400;0;0;Inf
1661;500;400;0;0;Inf
1681;500;400;0;0;Inf
1701;500;400;0;0;Inf
1721;500;400;0;0;Inf
1741;500;400;0;0;Inf
1761;500;400;0;0;Inf
1781;500;400;0;0;Inf
1801;500;400;0;0;Inf
1821;500;400;0;0;Inf
1841;500;400;0;0;Inf
1861;500;400;0;0;Inf
1881;417,828300710964;400;0;0;403,052903867995
1901;332,370784909249;400;0;0;359,479848075961
1921;275,117455132719;400;0;0;327,056060264293
1941;238,113847070659;400;0;0;304,267421425746
1961;203,194980284905;400;0;0;281,073314874911
1981;164,800263821398;400;0;0;253,129102581587
2001;131,427193918406;400;0;0;226,050642546037
2021;106,302127068306;400;0;0;203,298467786054
2041;91,5945981496196;400;0;0;188,711366272867
2061;92,4333176753017;400;0;0;189,573399801125
2081;97,0525546208396;400;0;0;194,252498662392
2101;116,38249832754;400;0;0;212,719334687159
2121;122,812610243013;400;0;0;218,516687835239
2141;130,648702284543;400;0;0;225,380157618701
2161;137,786955656632;400;0;0;231,455326919254
2181;227,760064342275;400;0;0;297,578750948848
2201;500;400;0;0;Inf
2221;500;400;0;0;Inf
2241;500;400;0;0;Inf
2261;407,457952767878;400;0;0;398,019662876284
2281;313,662350716377;400;0;0;349,21615363343
2301;388,023654696524;400;0;0;388,411633381402
2321;500;400;0;0;Inf
2341;500;400;0;0;Inf
2361;500;400;0;0;Inf
2381;500;400;0;0;Inf
2401;500;400;0;0;Inf
2421;500;400;0;0;Inf
2441;500;400;0;0;Inf
2461;500;400;0;0;Inf
2481;90,3673809767166;400;0;0;187,442891899766
